year,block,snow,otc,treatment,tussock,species,growthform,individual,DOYsf,FLB,FLE,FCC,WLC,TS,LD,notes
2010,3,A,N,A.N,I,CARBIG,graminoid,2,134,141,141,204,,241,,
2010,3,A,N,A.N,I,CARBIG,graminoid,3,134,138,138,193,,,,
2010,3,A,N,A.N,I,CARBIG,graminoid,4,134,141,141,207,241,249,,
2010,3,A,N,A.N,I,CARBIG,graminoid,5,134,138,138,197,241,249,,
2010,4,A,N,A.N,I,CARBIG,graminoid,1,134,138,138,197,,249,,
2010,4,A,N,A.N,I,CARBIG,graminoid,2,134,138,138,207,241,249,,
2010,4,A,N,A.N,I,CARBIG,graminoid,3,134,138,138,202,241,249,,
2010,4,A,N,A.N,I,CARBIG,graminoid,4,134,141,141,204,,241,,
2010,4,A,N,A.N,I,CARBIG,graminoid,5,134,138,138,190,241,249,,
2010,5,A,N,A.N,I,CARBIG,graminoid,1,134,138,138,193,,240,,
2010,5,A,N,A.N,I,CARBIG,graminoid,2,134,141,141,195,,240,,
2010,5,A,N,A.N,I,CARBIG,graminoid,3,134,138,138,193,,249,,
2010,5,A,N,A.N,I,CARBIG,graminoid,4,134,138,138,193,,249,,
2010,5,A,N,A.N,I,CARBIG,graminoid,5,134,138,138,193,240,249,,
2010,1,A,O,A.O,I,CARBIG,graminoid,1,134,141,141,197,241,250,,
2010,1,A,O,A.O,I,CARBIG,graminoid,2,134,141,141,200,241,250,,
2010,1,A,O,A.O,I,CARBIG,graminoid,3,134,141,141,200,241,250,,
2010,1,A,O,A.O,I,CARBIG,graminoid,4,134,141,141,204,241,250,,
2010,1,A,O,A.O,I,CARBIG,graminoid,5,134,149,149,195,250,,,new plant marked DOY 149
2010,2,A,O,A.O,I,CARBIG,graminoid,1,134,138,138,197,241,250,,
2010,2,A,O,A.O,I,CARBIG,graminoid,2,134,138,138,197,,241,,
2010,2,A,O,A.O,I,CARBIG,graminoid,3,134,138,138,197,241,250,,
2010,2,A,O,A.O,I,CARBIG,graminoid,4,134,138,138,197,241,250,,
2010,2,A,O,A.O,I,CARBIG,graminoid,5,134,138,138,200,241,,,
2010,3,A,O,A.O,I,CARBIG,graminoid,1,134,138,138,214,249,,,
2010,3,A,O,A.O,I,CARBIG,graminoid,2,134,138,138,214,249,,,
2010,3,A,O,A.O,I,CARBIG,graminoid,3,134,138,138,204,249,,,
2010,3,A,O,A.O,I,CARBIG,graminoid,4,134,138,138,200,241,249,,
2010,3,A,O,A.O,I,CARBIG,graminoid,5,134,138,138,204,241,249,,
2010,4,A,O,A.O,I,CARBIG,graminoid,1,134,141,141,197,,241,,
2010,4,A,O,A.O,I,CARBIG,graminoid,2,134,141,141,190,,241,,
2010,4,A,O,A.O,I,CARBIG,graminoid,3,134,138,138,190,241,249,,
2010,4,A,O,A.O,I,CARBIG,graminoid,4,134,144,144,190,,241,,
2010,4,A,O,A.O,I,CARBIG,graminoid,5,134,146,146,190,,241,,
2010,5,A,O,A.O,I,CARBIG,graminoid,1,134,138,138,207,240,249,,
2010,5,A,O,A.O,I,CARBIG,graminoid,2,134,138,138,202,240,249,,
2010,5,A,O,A.O,I,CARBIG,graminoid,3,134,138,138,193,,240,,
2010,5,A,O,A.O,I,CARBIG,graminoid,4,134,138,138,200,240,249,,
2010,5,A,O,A.O,I,CARBIG,graminoid,5,134,138,138,207,,249,,
2010,1,C,N,C.N,I,CARBIG,graminoid,1,138,149,149,207,,241,,new individual marked DOY 149
2010,1,C,N,C.N,I,CARBIG,graminoid,2,138,139,139,197,,241,,
2010,1,C,N,C.N,I,CARBIG,graminoid,3,138,139,139,207,,250,,
2010,1,C,N,C.N,I,CARBIG,graminoid,4,138,139,139,204,241,250,,
2010,1,C,N,C.N,I,CARBIG,graminoid,5,138,149,149,200,250,,,new individual marked DOY 149
2010,2,C,N,C.N,I,CARBIG,graminoid,1,138,144,144,190,,241,,
2010,2,C,N,C.N,I,CARBIG,graminoid,2,138,139,139,190,,241,,
2010,2,C,N,C.N,I,CARBIG,graminoid,3,138,141,141,190,,241,,
2010,2,C,N,C.N,I,CARBIG,graminoid,4,138,139,139,190,,241,,
2010,2,C,N,C.N,I,CARBIG,graminoid,5,138,149,149,190,,241,,new individual marked DOY 149
2010,3,C,N,C.N,I,CARBIG,graminoid,1,138,139,139,195,,241,,
2010,3,C,N,C.N,I,CARBIG,graminoid,2,138,139,139,204,241,249,,
2010,3,C,N,C.N,I,CARBIG,graminoid,3,138,139,139,190,241,249,,
2010,3,C,N,C.N,I,CARBIG,graminoid,4,138,139,139,190,,241,,
2010,3,C,N,C.N,I,CARBIG,graminoid,5,138,139,139,190,241,249,,
2010,4,C,N,C.N,I,CARBIG,graminoid,1,139,144,144,193,,241,,
2010,4,C,N,C.N,I,CARBIG,graminoid,2,139,139,139,195,,249,,
2010,4,C,N,C.N,I,CARBIG,graminoid,3,139,141,141,197,,249,,
2010,4,C,N,C.N,I,CARBIG,graminoid,4,139,139,139,190,,241,,
2010,4,C,N,C.N,I,CARBIG,graminoid,5,139,139,139,195,241,249,,
2010,5,C,N,C.N,I,CARBIG,graminoid,1,138,144,144,195,240,249,,
2010,5,C,N,C.N,I,CARBIG,graminoid,2,138,141,141,195,240,249,,
2010,5,C,N,C.N,I,CARBIG,graminoid,3,138,141,141,197,240,249,,
2010,5,C,N,C.N,I,CARBIG,graminoid,4,138,144,144,207,240,249,,
2010,5,C,N,C.N,I,CARBIG,graminoid,5,138,144,144,195,240,249,,
2010,1,C,O,C.O,I,CARBIG,graminoid,1,138,139,139,204,250,,,
2010,1,C,O,C.O,I,CARBIG,graminoid,2,138,144,144,207,250,,,
2010,1,C,O,C.O,I,CARBIG,graminoid,3,138,144,144,,241,250,,
2010,1,C,O,C.O,I,CARBIG,graminoid,4,138,141,141,200,250,,,
2010,1,C,O,C.O,I,CARBIG,graminoid,5,138,139,139,210,250,,,
2010,2,C,O,C.O,I,CARBIG,graminoid,1,138,139,139,207,241,250,,
2010,2,C,O,C.O,I,CARBIG,graminoid,2,138,141,141,200,241,250,,
2010,2,C,O,C.O,I,CARBIG,graminoid,3,138,139,139,190,241,250,,
2010,2,C,O,C.O,I,CARBIG,graminoid,4,138,141,141,190,241,250,,
2010,2,C,O,C.O,I,CARBIG,graminoid,5,138,141,141,190,241,250,,
2010,3,C,O,C.O,I,CARBIG,graminoid,1,138,141,141,197,,,,
2010,3,C,O,C.O,I,CARBIG,graminoid,2,138,139,139,197,,241,,
2010,3,C,O,C.O,I,CARBIG,graminoid,3,138,141,141,193,,249,,
2010,3,C,O,C.O,I,CARBIG,graminoid,4,138,139,139,190,241,249,,
2010,3,C,O,C.O,I,CARBIG,graminoid,5,138,139,139,190,,,,
2010,4,C,O,C.O,I,CARBIG,graminoid,1,138,146,146,193,241,249,,
2010,4,C,O,C.O,I,CARBIG,graminoid,2,138,139,139,207,241,249,,
2010,4,C,O,C.O,I,CARBIG,graminoid,3,138,149,149,195,241,249,,new individual marked DOY 149
2010,4,C,O,C.O,I,CARBIG,graminoid,4,138,139,139,210,241,249,,
2010,4,C,O,C.O,I,CARBIG,graminoid,5,138,149,149,200,,249,,new individual marked DOY 149
2010,5,C,O,C.O,I,CARBIG,graminoid,1,138,139,139,193,240,249,,
2010,5,C,O,C.O,I,CARBIG,graminoid,2,138,139,139,193,240,249,,
2010,5,C,O,C.O,I,CARBIG,graminoid,3,138,141,141,190,240,249,,
2010,5,C,O,C.O,I,CARBIG,graminoid,4,138,141,141,190,240,249,,
2010,5,C,O,C.O,I,CARBIG,graminoid,5,138,146,146,190,,240,,
2010,1,A,N,A.N,T,ERIVAG,graminoid,1,134,136,136,197,241,,,
2010,1,A,N,A.N,T,ERIVAG,graminoid,2,134,136,136,197,250,,,
2010,1,A,N,A.N,T,ERIVAG,graminoid,3,134,136,136,193,241,,,
2010,1,A,N,A.N,T,ERIVAG,graminoid,4,134,136,136,193,241,,,
2010,1,A,N,A.N,T,ERIVAG,graminoid,5,134,136,136,197,241,,,
2010,2,A,N,A.N,T,ERIVAG,graminoid,1,134,136,136,190,250,,,
2010,2,A,N,A.N,T,ERIVAG,graminoid,2,134,136,136,193,250,,,
2010,2,A,N,A.N,T,ERIVAG,graminoid,3,134,136,136,190,241,,,
2010,2,A,N,A.N,T,ERIVAG,graminoid,4,134,136,136,195,241,,,
2010,2,A,N,A.N,T,ERIVAG,graminoid,5,134,136,136,190,250,,,
2010,3,A,N,A.N,T,ERIVAG,graminoid,1,134,136,136,190,249,,,
2010,3,A,N,A.N,T,ERIVAG,graminoid,2,134,136,136,195,,249,,
2010,3,A,N,A.N,T,ERIVAG,graminoid,3,134,136,136,193,241,,,
2010,3,A,N,A.N,T,ERIVAG,graminoid,4,134,136,136,190,,,,
2010,3,A,N,A.N,T,ERIVAG,graminoid,5,134,136,136,193,241,,,
2010,4,A,N,A.N,T,ERIVAG,graminoid,1,134,136,136,190,249,,,
2010,4,A,N,A.N,T,ERIVAG,graminoid,2,134,136,136,193,241,,,
2010,4,A,N,A.N,T,ERIVAG,graminoid,3,134,136,136,193,241,,,
2010,4,A,N,A.N,T,ERIVAG,graminoid,4,134,136,136,193,249,,,
2010,4,A,N,A.N,T,ERIVAG,graminoid,5,134,136,136,190,241,,,
2010,5,A,N,A.N,T,ERIVAG,graminoid,1,134,136,136,193,240,,,
2010,5,A,N,A.N,T,ERIVAG,graminoid,2,134,136,136,193,240,,,
2010,5,A,N,A.N,T,ERIVAG,graminoid,3,134,136,136,193,240,,,
2010,5,A,N,A.N,T,ERIVAG,graminoid,4,134,136,136,195,249,,,
2010,5,A,N,A.N,T,ERIVAG,graminoid,5,134,136,136,200,249,,,
2010,1,A,O,A.O,T,ERIVAG,graminoid,1,134,136,136,195,241,,,
2010,1,A,O,A.O,T,ERIVAG,graminoid,2,134,136,136,202,250,,,
2010,1,A,O,A.O,T,ERIVAG,graminoid,3,134,136,136,197,241,,,
2010,1,A,O,A.O,T,ERIVAG,graminoid,4,134,136,136,197,241,,,
2010,1,A,O,A.O,T,ERIVAG,graminoid,5,134,136,136,202,250,,,
2010,2,A,O,A.O,T,ERIVAG,graminoid,1,134,136,136,197,241,,,
2010,2,A,O,A.O,T,ERIVAG,graminoid,2,134,136,136,195,250,,,
2010,2,A,O,A.O,T,ERIVAG,graminoid,3,134,136,136,193,241,,,
2010,2,A,O,A.O,T,ERIVAG,graminoid,4,134,136,136,195,250,,,
2010,2,A,O,A.O,T,ERIVAG,graminoid,5,134,136,136,200,241,,,
2010,3,A,O,A.O,T,ERIVAG,graminoid,1,134,136,136,195,249,,,
2010,3,A,O,A.O,T,ERIVAG,graminoid,2,134,136,136,195,,249,,
2010,3,A,O,A.O,T,ERIVAG,graminoid,3,134,136,136,195,241,249,,
2010,3,A,O,A.O,T,ERIVAG,graminoid,4,134,136,136,193,249,,,
2010,3,A,O,A.O,T,ERIVAG,graminoid,5,134,136,136,195,249,,,
2010,4,A,O,A.O,T,ERIVAG,graminoid,1,,,,,,,,NP
2010,4,A,O,A.O,T,ERIVAG,graminoid,2,,,,,,,,NP
2010,4,A,O,A.O,T,ERIVAG,graminoid,3,,,,,,,,NP
2010,4,A,O,A.O,T,ERIVAG,graminoid,4,,,,,,,,NP
2010,4,A,O,A.O,T,ERIVAG,graminoid,5,,,,,,,,NP
2010,5,A,O,A.O,T,ERIVAG,graminoid,1,134,136,136,200,240,,,
2010,5,A,O,A.O,T,ERIVAG,graminoid,2,134,136,136,197,249,,,
2010,5,A,O,A.O,T,ERIVAG,graminoid,3,134,136,136,202,,,,
2010,5,A,O,A.O,T,ERIVAG,graminoid,4,134,136,136,193,,,,
2010,5,A,O,A.O,T,ERIVAG,graminoid,5,134,136,136,197,249,,,
2010,1,C,N,C.N,T,ERIVAG,graminoid,1,138,139,139,193,241,,,
2010,1,C,N,C.N,T,ERIVAG,graminoid,2,138,139,139,193,241,,,
2010,1,C,N,C.N,T,ERIVAG,graminoid,3,138,139,139,197,241,,,
2010,1,C,N,C.N,T,ERIVAG,graminoid,4,138,139,139,193,241,,,
2010,1,C,N,C.N,T,ERIVAG,graminoid,5,138,139,139,202,250,,,
2010,2,C,N,C.N,T,ERIVAG,graminoid,1,138,139,139,197,250,,,
2010,2,C,N,C.N,T,ERIVAG,graminoid,2,138,139,139,195,241,,,
2010,2,C,N,C.N,T,ERIVAG,graminoid,3,138,139,139,197,250,,,
2010,2,C,N,C.N,T,ERIVAG,graminoid,4,138,139,139,204,250,,,
2010,2,C,N,C.N,T,ERIVAG,graminoid,5,138,139,139,202,250,,,
2010,3,C,N,C.N,T,ERIVAG,graminoid,1,138,139,139,190,,249,,
2010,3,C,N,C.N,T,ERIVAG,graminoid,2,138,139,139,193,249,,,
2010,3,C,N,C.N,T,ERIVAG,graminoid,3,138,139,139,190,249,,,
2010,3,C,N,C.N,T,ERIVAG,graminoid,4,138,139,139,193,249,,,
2010,3,C,N,C.N,T,ERIVAG,graminoid,5,138,139,139,190,,,,
2010,4,C,N,C.N,T,ERIVAG,graminoid,1,139,139,139,193,241,,,
2010,4,C,N,C.N,T,ERIVAG,graminoid,2,139,139,139,193,241,,,
2010,4,C,N,C.N,T,ERIVAG,graminoid,3,139,139,139,195,241,,,
2010,4,C,N,C.N,T,ERIVAG,graminoid,4,139,139,139,193,249,,,
2010,4,C,N,C.N,T,ERIVAG,graminoid,5,139,139,139,197,241,,,
2010,5,C,N,C.N,T,ERIVAG,graminoid,1,138,139,139,195,240,,,
2010,5,C,N,C.N,T,ERIVAG,graminoid,2,138,139,139,193,240,,,
2010,5,C,N,C.N,T,ERIVAG,graminoid,3,138,139,139,200,240,,,
2010,5,C,N,C.N,T,ERIVAG,graminoid,4,138,139,139,195,240,,,
2010,5,C,N,C.N,T,ERIVAG,graminoid,5,138,139,139,193,240,,,
2010,1,C,O,C.O,T,ERIVAG,graminoid,1,138,139,139,193,250,,,
2010,1,C,O,C.O,T,ERIVAG,graminoid,2,138,139,139,193,241,,,
2010,1,C,O,C.O,T,ERIVAG,graminoid,3,138,139,139,195,250,,,
2010,1,C,O,C.O,T,ERIVAG,graminoid,4,138,139,139,197,250,,,
2010,1,C,O,C.O,T,ERIVAG,graminoid,5,138,139,139,197,250,,,
2010,2,C,O,C.O,T,ERIVAG,graminoid,1,138,139,139,193,241,,,
2010,2,C,O,C.O,T,ERIVAG,graminoid,2,138,139,139,190,,,,
2010,2,C,O,C.O,T,ERIVAG,graminoid,3,138,139,139,190,241,,,
2010,2,C,O,C.O,T,ERIVAG,graminoid,4,138,139,139,197,241,,,
2010,2,C,O,C.O,T,ERIVAG,graminoid,5,138,139,139,197,241,,,
2010,3,C,O,C.O,T,ERIVAG,graminoid,1,138,139,139,193,249,,,
2010,3,C,O,C.O,T,ERIVAG,graminoid,2,138,139,139,197,,,,
2010,3,C,O,C.O,T,ERIVAG,graminoid,3,138,139,139,200,,,,
2010,3,C,O,C.O,T,ERIVAG,graminoid,4,138,139,139,197,249,,,
2010,3,C,O,C.O,T,ERIVAG,graminoid,5,138,139,139,197,241,,,
2010,4,C,O,C.O,T,ERIVAG,graminoid,1,138,139,139,195,249,,,
2010,4,C,O,C.O,T,ERIVAG,graminoid,2,138,139,139,202,249,,,
2010,4,C,O,C.O,T,ERIVAG,graminoid,3,138,139,139,202,,,,
2010,4,C,O,C.O,T,ERIVAG,graminoid,4,138,139,139,197,241,,,
2010,4,C,O,C.O,T,ERIVAG,graminoid,5,138,139,139,195,241,,,
2010,5,C,O,C.O,T,ERIVAG,graminoid,1,138,139,139,202,240,,,
2010,5,C,O,C.O,T,ERIVAG,graminoid,2,138,139,139,204,240,,,
2010,5,C,O,C.O,T,ERIVAG,graminoid,3,138,139,139,197,249,,,
2010,5,C,O,C.O,T,ERIVAG,graminoid,4,138,139,139,195,249,,,
2010,5,C,O,C.O,T,ERIVAG,graminoid,5,138,139,139,197,240,,,
2010,1,A,N,A.N,I,SALPUL,deciduous shrub,1,134,141,155,207,241,250,,
2010,1,A,N,A.N,I,SALPUL,deciduous shrub,2,134,144,155,210,241,250,,
2010,1,A,N,A.N,I,SALPUL,deciduous shrub,3,134,141,153,217,241,250,,
2010,1,A,N,A.N,I,SALPUL,deciduous shrub,4,134,144,155,214,,241,,
2010,1,A,N,A.N,I,SALPUL,deciduous shrub,5,134,141,153,195,241,250,,
2010,2,A,N,A.N,I,SALPUL,deciduous shrub,1,134,144,155,195,241,250,,
2010,2,A,N,A.N,I,SALPUL,deciduous shrub,2,134,141,153,195,241,250,,
2010,2,A,N,A.N,I,SALPUL,deciduous shrub,3,134,144,155,195,241,250,,
2010,2,A,N,A.N,I,SALPUL,deciduous shrub,4,134,144,153,204,,241,,
2010,2,A,N,A.N,I,SALPUL,deciduous shrub,5,134,146,155,195,241,250,,
2010,3,A,N,A.N,I,SALPUL,deciduous shrub,1,134,144,155,195,241,249,,
2010,3,A,N,A.N,I,SALPUL,deciduous shrub,2,134,146,155,200,,241,,
2010,3,A,N,A.N,I,SALPUL,deciduous shrub,3,134,146,155,207,241,249,,
2010,3,A,N,A.N,I,SALPUL,deciduous shrub,4,134,144,153,195,,249,,
2010,3,A,N,A.N,I,SALPUL,deciduous shrub,5,134,144,153,207,241,249,,
2010,4,A,N,A.N,I,SALPUL,deciduous shrub,1,134,141,149,207,241,249,,
2010,4,A,N,A.N,I,SALPUL,deciduous shrub,2,134,141,153,210,241,249,,
2010,4,A,N,A.N,I,SALPUL,deciduous shrub,3,,,,,,,,NP
2010,4,A,N,A.N,I,SALPUL,deciduous shrub,4,,,,,,,,NP
2010,4,A,N,A.N,I,SALPUL,deciduous shrub,5,,,,,,,,NP
2010,5,A,N,A.N,I,SALPUL,deciduous shrub,1,134,141,149,197,240,249,,
2010,5,A,N,A.N,I,SALPUL,deciduous shrub,2,134,146,153,214,,240,,moved to new plant on DOY 146
