Site,sub_name,station name,lat,long,elev_m,proximity_rank,frequency of measurements,min_year,max_year,air_temp_height,climate_data_source,climate_data_access,citation,metadata_file_name,added_to_database?,missing,notes
HEALY,,"Eight Mile Lake Research Watershed: hourly meteorological data, 2004-2018.",63.880708,-149.239569,,1,hourly,2004,2018,,"Eight Mile Lake Research Watershed: hourly meteorological data, 2004-2018",https://portal.lternet.edu/nis/metadataviewer?packageid=knb-lter-bnz.453.23,"Celis G., M. Mauritz, M. Taylor, J. Ledman, S. M. Natali, E. A. Schuur. 2018.·Eight Mile Lake Research Watershed: hourly meteorological data, 2004-2018.·Environmental Data Initiative.·https://doi.org/10.6073/pasta/ec2da48c393574c7b62baa8140c86ae8. Dataset accessed 1/10/2020.",Healy_EML_AK_metadata.csv,yes,,
IMNAVAIT,,Imnavait IB,68.6133,-149.3175,897,1,hourly,2009,2013,1 meter,TEON Historical stations,http://ine.uaf.edu/werc/werc-projects/teon/current-stations/imnavait/,"Arp C., and Stuefer S.L., [year of retrieval], Hydrological and meteorological data from the North Slope of Alaska. University of Alaska Fairbanks, Water and Environmental Research Center.ˇhttp://ine.uaf.edu/werc/teon. Accessed [month, day and year of retrieval]",,yes,missing 4 days in 2013,
JAKOBSHORN,,Stillberg meteorological station,,,2090,1,hourly,2000,2015,temp_thygan,EnviDat,http://www.envidat.ch/dataset/stillberg-climate,"Peter Bebi (2016). Long-term meteorological and snow station at 2090 m a.s.l., Stillberg, Davos, Switzerland (1975 - present). WSL Institute for Snow and Avalanche Research SLF.·doi:10.16904/envidat.43.",Stillberg_climate_metadata,yes,,
KANGER,,Station 4231,,,,1,daily,1995,2013,unknown,Danish Meteorological Institute,https://www.isaaffik.org/,Danish Meteorological Institute,none,yes,,
LATNJA,,,,,,,daily,1993,2009,2 meter,TVC dataset,PDC,,,yes,missing 9/2009,
NIWOT,,,,,,1,daily,1981,2017,unknown,Niwot LTER,https://nwt.lternet.edu/data-catalog?sort=score&q=temperature&expanded=true&coreArea=any&creator=&s=1900&e=2019&id=&taxon=&geo=,,none,yes,,
NIWOT,sdl,,,,,,daily ,2018,2019,,Niwot LTER,doi:10.6073/pasta/cf8ff4f209a889b4b20a4fb48be6f1d8,,,yes,taken as average as 3 hmp air temp sensors at NWT saddle ,
NUUK,,,,,,,daily,2007,2018,2 meter,Greenland Ecosystem Monitoring programme,http://data.g-e-m.dk,"Include the acknowledgement: Data from the Greenland Ecosystem Monitoring Programme were provided by Asiaq ? Greenland Survey, Nuuk,
Greenland.",GEM_metadata,yes,,
Other notes,,,,,,,,,,,,,,,,,
OZ ,,Mount Hotham,-36.98,147.13,1849,1,daily,2000,2019,unknown,Australian government Bureau of Meteorology,http://www.bom.gov.au/climate/data/stations/,"Copyright·Commonwealth of Australia 2019, Bureau of Meteorology (ABN 92 637 533 532)·",Mount_Hotham_metadata.pdf,yes,,
OZ ,,Falls Creek station # 83084,-36.87,147.28,1849,2,daily,1990,2019,unknown,Australian government Bureau of Meteorology,http://www.bom.gov.au/climate/data/stations/,"Copyright·Commonwealth of Australia 2019, Bureau of Meteorology (ABN 92 637 533 532)·",Mount_Hotham_metadata.pdf,no,,
QIKIQTARUK,,HERSCHEL ISLAND #2100636,69.57,-138.91,1.2,1,daily,2001,2019,,Government of Canada,https://climate.weather.gc.ca/historical_data,see website,,yes,missing 1 thru 6 2018,
STILLBERG,,Stillberg meteorological station,,,2090,1,hourly,2000,2015,temp_thygan,EnviDat,http://www.envidat.ch/dataset/stillberg-climate,"Peter Bebi (2016). Long-term meteorological and snow station at 2090 m a.s.l., Stillberg, Davos, Switzerland (1975 - present). WSL Institute for Snow and Avalanche Research SLF.·doi:10.16904/envidat.43.",Stillberg_climate_metadata,yes,,
TANQUARY,,EUREKA A #2401200 (1992-2016) and #240119 (2019-2019),79.98,-85.93,,1,daily,1992,2019,,Government of Canada,https://climate.weather.gc.ca/historical_data,see website,,yes,missing 6 thru 12 2016,
TOOLIK,,Toolik Field Station,68.63333,-149.6,not listed ,1,daily,1995,2015,1 meter (1995-2008); 3 meter (2009-2015),Arctic Data Center,https://arcticdata.io/catalog/view/doi:10.18739/A2Z60C23T,"Colin Edgar; Jessie Cherry; Lily Cohen;Christie Haupert;Anja Kade, et al.·2018.·Daily meteorological data from Toolik Field Station, Alaska (1988-2017).·Arctic Data Center.·doi:10.18739/A2Z60C23T.",https://arcticdata.io/catalog/view/doi:10.18739/A2Z60C23T,yes,,
VAL BERCLA ,,PizMartegnasSchneestation (ENET),46.47832,9.537583,2430,1,daily,2000,2019,,"Christian Rixen, automated IMIS stations, WSL Institute for Snow and Avalanche Research SLF",rixen@slf.ch,"automated IMIS stations, WSL Institute for Snow and Avalanche Research SLF",IMIS_PMA2_DE,yes,,
VAL BERCLA ,,JulierVairana (IMIS),46.47832,9.692573,2430,2,daily,2000,2019,,"Christian Rixen, automated IMIS stations, WSL Institute for Snow and Avalanche Research SLF",rixen@slf.ch,"automated IMIS stations, WSL Institute for Snow and Avalanche Research SLF",,no,,
WHITEMTNS,,Barcroft (WMRS) California,37.583702,-118.237018,3782.568,1,daily,2011,2019,unknown,Western Regional Data Center,https://wrcc.dri.edu/cgi-bin/rawMAIN.pl?nvbarc,"Western Regional Climate Center,·wrcc@dri.edu",https://wrcc.dri.edu/cgi-bin/rawMAIN.pl?nvbarc,yes,,
ZACKENBERG,,,,,,1,daily,1995,2018,2 meter,Greenland Ecosystem Monitoring programme,http://data.g-e-m.dk,"Include the acknowledgement: Data from the Greenland Ecosystem Monitoring Programme were provided by Asiaq ? Greenland Survey, Nuuk,
Greenland.",GEM_metadata,yes,,
GAVIAPASS,CGC,T0065 Careser (Diga),46.422583,10.699111,2600m ,,daily,2010,2015,unknown,Italian meteorological service ,http://storico.meteotrentino.it/web.htm?ppbm=T0065&rs&1&df,,,yes,,data filled in by CGC
